"1","ProjectVersion","1.1","1"
"287","derived","derived","330"
"288","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","331"
"289","derived","derived","331"
"290","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_storageContainer_edu.wustl.catissuecore.domain.StorageContainer","332"
"291","derived","derived","332"
"292","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","334"
"293","derived","derived","334"
"294","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","335"
"295","derived","derived","335"
"296","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","336"
"297","derived","derived","336"
"298","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_consentTierStatusCollection_edu.wustl.catissuecore.domain.ConsentTierStatus","337"
"299","derived","derived","337"
"300","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","338"
"301","derived","derived","338"
"302","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","339"
"303","derived","derived","339"
"304","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","340"
"305","derived","derived","340"
"306","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","341"
"307","derived","derived","341"
"308","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","342"
"309","derived","derived","342"
"310","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_edu.wustl.catissuecore.domain.Specimen_specimenCharacteristics_edu.wustl.catissuecore.domain.SpecimenCharacteristics","343"
"311","derived","derived","343"
"312","derived","derived","344"
"313","derived","derived","345"
"314","derived","derived","346"
"315","derived","derived","347"
